conversation_id,agent_id,category_id,channel_id,issue_status,resolution_time,date,customer_issue,tech_response,date
CONV-0001,1,1,1,Pending,92,2025-01-01,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,2025-01-01
CONV-0002,2,2,2,Pending,76,2025-01-02,Software installation failure,Reinstall the printer drivers.,2025-01-02
CONV-0003,3,3,3,Resolved,50,2025-01-03,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,2025-01-03
CONV-0004,4,4,4,Pending,97,2025-01-04,Forgot password,Reset your password using the link provided.,2025-01-04
CONV-0005,5,5,5,Pending,110,2025-01-05,Software installation failure,Follow the software installation guide.,2025-01-05
CONV-0006,6,6,6,Resolved after follow-up,22,2025-01-06,Unable to access email,Follow the software installation guide.,2025-01-06
CONV-0007,7,7,7,Resolved after follow-up,12,2025-01-07,Unable to access email,Run a system diagnostic tool.,2025-01-07
CONV-0008,8,8,8,Escalated,10,2025-01-08,Unable to access email,Reinstall the printer drivers.,2025-01-08
CONV-0009,9,9,9,Pending,120,2025-01-09,Blue screen error,Run a system diagnostic tool.,2025-01-09
CONV-0010,10,10,10,Pending,94,2025-01-10,Printer not responding,Reinstall the printer drivers.,2025-01-10
CONV-0011,11,11,11,Escalated,45,2025-01-11,Software installation failure,Verify your email settings.,2025-01-11
CONV-0012,12,12,12,Resolved,9,2025-01-12,Blue screen error,Reset your password using the link provided.,2025-01-12
CONV-0013,13,13,13,Pending,79,2025-01-13,Slow system performance,Clear cache and remove unnecessary programs.,2025-01-13
CONV-0014,14,14,14,Resolved after follow-up,76,2025-01-14,Blue screen error,Restart your router.,2025-01-14
CONV-0015,15,15,15,Escalated,35,2025-01-15,Blue screen error,Reset your password using the link provided.,2025-01-15
CONV-0016,16,16,16,Resolved,48,2025-01-16,Slow system performance,Restart your router.,2025-01-16
CONV-0017,17,17,17,Resolved after follow-up,69,2025-01-17,Forgot password,Reinstall the printer drivers.,2025-01-17
CONV-0018,18,18,18,Resolved after follow-up,91,2025-01-18,Unable to access email,Run a system diagnostic tool.,2025-01-18
CONV-0019,19,19,19,Resolved after follow-up,30,2025-01-19,Printer not responding,Restart your router.,2025-01-19
CONV-0020,20,20,20,Escalated,97,2025-01-20,Software installation failure,Reset your password using the link provided.,2025-01-20
CONV-0021,21,21,21,Resolved after follow-up,99,2025-01-21,Unable to access email,Verify your email settings.,2025-01-21
CONV-0022,22,22,22,Escalated,15,2025-01-22,Cannot connect to Wi-Fi,Verify your email settings.,2025-01-22
CONV-0023,23,23,23,Pending,93,2025-01-23,Forgot password,Run a system diagnostic tool.,2025-01-23
CONV-0024,24,24,24,Resolved after follow-up,54,2025-01-24,Printer not responding,Run a system diagnostic tool.,2025-01-24
CONV-0025,25,25,25,Pending,58,2025-01-25,Blue screen error,Clear cache and remove unnecessary programs.,2025-01-25
CONV-0026,26,26,26,Resolved,99,2025-01-26,Slow system performance,Run a system diagnostic tool.,2025-01-26
CONV-0027,27,27,27,Pending,13,2025-01-27,Software installation failure,Follow the software installation guide.,2025-01-27
CONV-0028,28,28,28,Resolved after follow-up,60,2025-01-28,Forgot password,Restart your router.,2025-01-28
CONV-0029,29,29,29,Resolved after follow-up,23,2025-01-29,Unable to access email,Clear cache and remove unnecessary programs.,2025-01-29
CONV-0030,30,30,30,Resolved after follow-up,87,2025-01-30,Software installation failure,Restart your router.,2025-01-30
CONV-0031,31,31,31,Resolved after follow-up,65,2025-01-31,Software installation failure,Follow the software installation guide.,2025-01-31
CONV-0032,32,32,32,Resolved,56,2025-02-01,Printer not responding,Reinstall the printer drivers.,2025-02-01
CONV-0033,33,33,33,Resolved,48,2025-02-02,Slow system performance,Reinstall the printer drivers.,2025-02-02
CONV-0034,34,34,34,Escalated,5,2025-02-03,Slow system performance,Reset your password using the link provided.,2025-02-03
CONV-0035,35,35,35,Resolved,113,2025-02-04,Unable to access email,Follow the software installation guide.,2025-02-04
CONV-0036,36,36,36,Resolved,52,2025-02-05,Blue screen error,Reinstall the printer drivers.,2025-02-05
CONV-0037,37,37,37,Resolved after follow-up,9,2025-02-06,Blue screen error,Restart your router.,2025-02-06
CONV-0038,38,38,38,Resolved,37,2025-02-07,Forgot password,Follow the software installation guide.,2025-02-07
CONV-0039,39,39,39,Escalated,86,2025-02-08,Blue screen error,Clear cache and remove unnecessary programs.,2025-02-08
CONV-0040,40,40,40,Pending,5,2025-02-09,Software installation failure,Run a system diagnostic tool.,2025-02-09
CONV-0041,41,41,41,Resolved,67,2025-02-10,Cannot connect to Wi-Fi,Follow the software installation guide.,2025-02-10
CONV-0042,42,42,42,Escalated,73,2025-02-11,Printer not responding,Restart your router.,2025-02-11
CONV-0043,43,43,43,Resolved,66,2025-02-12,Slow system performance,Reset your password using the link provided.,2025-02-12
CONV-0044,44,44,44,Resolved after follow-up,58,2025-02-13,Software installation failure,Follow the software installation guide.,2025-02-13
CONV-0045,45,45,45,Escalated,120,2025-02-14,Printer not responding,Reset your password using the link provided.,2025-02-14
CONV-0046,46,46,46,Pending,55,2025-02-15,Forgot password,Clear cache and remove unnecessary programs.,2025-02-15
CONV-0047,47,47,47,Resolved,120,2025-02-16,Forgot password,Follow the software installation guide.,2025-02-16
CONV-0048,48,48,48,Pending,66,2025-02-17,Software installation failure,Clear cache and remove unnecessary programs.,2025-02-17
CONV-0049,49,49,49,Resolved,25,2025-02-18,Slow system performance,Reset your password using the link provided.,2025-02-18
CONV-0050,50,50,50,Escalated,119,2025-02-19,Software installation failure,Restart your router.,2025-02-19
CONV-0051,51,51,51,Escalated,71,2025-02-20,Unable to access email,Clear cache and remove unnecessary programs.,2025-02-20
CONV-0052,52,52,52,Resolved,58,2025-02-21,Unable to access email,Follow the software installation guide.,2025-02-21
CONV-0053,53,53,53,Escalated,107,2025-02-22,Forgot password,Run a system diagnostic tool.,2025-02-22
CONV-0054,54,54,54,Escalated,91,2025-02-23,Slow system performance,Verify your email settings.,2025-02-23
CONV-0055,55,55,55,Escalated,83,2025-02-24,Software installation failure,Reinstall the printer drivers.,2025-02-24
CONV-0056,56,56,56,Escalated,73,2025-02-25,Printer not responding,Verify your email settings.,2025-02-25
CONV-0057,57,57,57,Resolved,51,2025-02-26,Printer not responding,Run a system diagnostic tool.,2025-02-26
CONV-0058,58,58,58,Resolved,14,2025-02-27,Unable to access email,Clear cache and remove unnecessary programs.,2025-02-27
CONV-0059,59,59,59,Resolved after follow-up,109,2025-02-28,Blue screen error,Verify your email settings.,2025-02-28
CONV-0060,60,60,60,Resolved after follow-up,29,2025-03-01,Slow system performance,Clear cache and remove unnecessary programs.,2025-03-01
CONV-0061,61,61,61,Pending,33,2025-03-02,Forgot password,Follow the software installation guide.,2025-03-02
CONV-0062,62,62,62,Resolved after follow-up,56,2025-03-03,Unable to access email,Follow the software installation guide.,2025-03-03
CONV-0063,63,63,63,Resolved after follow-up,7,2025-03-04,Software installation failure,Verify your email settings.,2025-03-04
CONV-0064,64,64,64,Pending,105,2025-03-05,Slow system performance,Clear cache and remove unnecessary programs.,2025-03-05
CONV-0065,65,65,65,Resolved,56,2025-03-06,Slow system performance,Reset your password using the link provided.,2025-03-06
CONV-0066,66,66,66,Pending,90,2025-03-07,Cannot connect to Wi-Fi,Reset your password using the link provided.,2025-03-07
CONV-0067,67,67,67,Pending,21,2025-03-08,Printer not responding,Reset your password using the link provided.,2025-03-08
CONV-0068,68,68,68,Resolved after follow-up,66,2025-03-09,Unable to access email,Run a system diagnostic tool.,2025-03-09
CONV-0069,69,69,69,Resolved after follow-up,14,2025-03-10,Blue screen error,Reinstall the printer drivers.,2025-03-10
CONV-0070,70,70,70,Resolved after follow-up,49,2025-03-11,Forgot password,Follow the software installation guide.,2025-03-11
CONV-0071,71,71,71,Pending,31,2025-03-12,Blue screen error,Reinstall the printer drivers.,2025-03-12
CONV-0072,72,72,72,Pending,79,2025-03-13,Software installation failure,Follow the software installation guide.,2025-03-13
CONV-0073,73,73,73,Resolved after follow-up,6,2025-03-14,Unable to access email,Restart your router.,2025-03-14
CONV-0074,74,74,74,Resolved after follow-up,101,2025-03-15,Printer not responding,Clear cache and remove unnecessary programs.,2025-03-15
CONV-0075,75,75,75,Resolved,73,2025-03-16,Unable to access email,Verify your email settings.,2025-03-16
CONV-0076,76,76,76,Resolved,68,2025-03-17,Unable to access email,Follow the software installation guide.,2025-03-17
CONV-0077,77,77,77,Resolved,38,2025-03-18,Software installation failure,Run a system diagnostic tool.,2025-03-18
CONV-0078,78,78,78,Resolved,63,2025-03-19,Printer not responding,Verify your email settings.,2025-03-19
CONV-0079,79,79,79,Resolved,103,2025-03-20,Printer not responding,Clear cache and remove unnecessary programs.,2025-03-20
CONV-0080,80,80,80,Resolved after follow-up,55,2025-03-21,Slow system performance,Reset your password using the link provided.,2025-03-21
CONV-0081,81,81,81,Escalated,36,2025-03-22,Cannot connect to Wi-Fi,Follow the software installation guide.,2025-03-22
CONV-0082,82,82,82,Resolved,103,2025-03-23,Unable to access email,Clear cache and remove unnecessary programs.,2025-03-23
CONV-0083,83,83,83,Escalated,26,2025-03-24,Cannot connect to Wi-Fi,Reinstall the printer drivers.,2025-03-24
CONV-0084,84,84,84,Resolved after follow-up,12,2025-03-25,Blue screen error,Reinstall the printer drivers.,2025-03-25
CONV-0085,85,85,85,Resolved after follow-up,118,2025-03-26,Slow system performance,Follow the software installation guide.,2025-03-26
CONV-0086,86,86,86,Resolved,28,2025-03-27,Software installation failure,Clear cache and remove unnecessary programs.,2025-03-27
CONV-0087,87,87,87,Escalated,111,2025-03-28,Blue screen error,Reinstall the printer drivers.,2025-03-28
CONV-0088,88,88,88,Resolved,40,2025-03-29,Slow system performance,Reset your password using the link provided.,2025-03-29
CONV-0089,89,89,89,Escalated,5,2025-03-30,Cannot connect to Wi-Fi,Restart your router.,2025-03-30
CONV-0090,90,90,90,Resolved,19,2025-03-31,Printer not responding,Follow the software installation guide.,2025-03-31
CONV-0091,91,91,91,Escalated,103,2025-04-01,Printer not responding,Reset your password using the link provided.,2025-04-01
CONV-0092,92,92,92,Resolved,81,2025-04-02,Printer not responding,Run a system diagnostic tool.,2025-04-02
CONV-0093,93,93,93,Resolved after follow-up,67,2025-04-03,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,2025-04-03
CONV-0094,94,94,94,Pending,62,2025-04-04,Blue screen error,Follow the software installation guide.,2025-04-04
CONV-0095,95,95,95,Pending,71,2025-04-05,Software installation failure,Follow the software installation guide.,2025-04-05
CONV-0096,96,96,96,Escalated,19,2025-04-06,Cannot connect to Wi-Fi,Restart your router.,2025-04-06
CONV-0097,97,97,97,Escalated,93,2025-04-07,Printer not responding,Reinstall the printer drivers.,2025-04-07
CONV-0098,98,98,98,Escalated,20,2025-04-08,Printer not responding,Reinstall the printer drivers.,2025-04-08
CONV-0099,99,99,99,Escalated,48,2025-04-09,Blue screen error,Reset your password using the link provided.,2025-04-09
CONV-0100,100,100,100,Pending,14,2025-04-10,Slow system performance,Reinstall the printer drivers.,2025-04-10
CONV-0101,101,101,101,Pending,20,2025-04-11,Printer not responding,Follow the software installation guide.,2025-04-11
CONV-0102,102,102,102,Resolved after follow-up,52,2025-04-12,Unable to access email,Clear cache and remove unnecessary programs.,2025-04-12
CONV-0103,103,103,103,Resolved after follow-up,84,2025-04-13,Blue screen error,Reinstall the printer drivers.,2025-04-13
CONV-0104,104,104,104,Escalated,80,2025-04-14,Slow system performance,Reinstall the printer drivers.,2025-04-14
CONV-0105,105,105,105,Resolved after follow-up,72,2025-04-15,Software installation failure,Clear cache and remove unnecessary programs.,2025-04-15
CONV-0106,106,106,106,Resolved,39,2025-04-16,Printer not responding,Verify your email settings.,2025-04-16
CONV-0107,107,107,107,Escalated,16,2025-04-17,Slow system performance,Follow the software installation guide.,2025-04-17
CONV-0108,108,108,108,Pending,57,2025-04-18,Cannot connect to Wi-Fi,Verify your email settings.,2025-04-18
CONV-0109,109,109,109,Escalated,41,2025-04-19,Software installation failure,Reset your password using the link provided.,2025-04-19
CONV-0110,110,110,110,Resolved,23,2025-04-20,Blue screen error,Follow the software installation guide.,2025-04-20
CONV-0111,111,111,111,Resolved,110,2025-04-21,Cannot connect to Wi-Fi,Run a system diagnostic tool.,2025-04-21
CONV-0112,112,112,112,Resolved after follow-up,110,2025-04-22,Printer not responding,Run a system diagnostic tool.,2025-04-22
CONV-0113,113,113,113,Resolved after follow-up,38,2025-04-23,Cannot connect to Wi-Fi,Verify your email settings.,2025-04-23
CONV-0114,114,114,114,Pending,102,2025-04-24,Forgot password,Clear cache and remove unnecessary programs.,2025-04-24
CONV-0115,115,115,115,Resolved after follow-up,26,2025-04-25,Slow system performance,Reinstall the printer drivers.,2025-04-25
CONV-0116,116,116,116,Escalated,78,2025-04-26,Blue screen error,Clear cache and remove unnecessary programs.,2025-04-26
CONV-0117,117,117,117,Escalated,69,2025-04-27,Software installation failure,Clear cache and remove unnecessary programs.,2025-04-27
CONV-0118,118,118,118,Pending,17,2025-04-28,Forgot password,Verify your email settings.,2025-04-28
